Employee_ID,Department,Experience,Salary
1,HR,1,30000.0
2,HR,2,32000.0
3,HR,3,
4,HR,4,36000.0
5,HR,5,
6,HR,6,42000.0
7,HR,7,45000.0
8,HR,8,
9,HR,9,50000.0
10,HR,10,52000.0
11,IT,1,45000.0
12,IT,2,
13,IT,3,52000.0
14,IT,4,55000.0
15,IT,5,
16,IT,6,62000.0
17,IT,7,65000.0
18,IT,8,
19,IT,9,70000.0
20,IT,10,75000.0
21,Finance,1,40000.0
22,Finance,2,
23,Finance,3,47000.0
24,Finance,4,50000.0
25,Finance,5,
26,Finance,6,55000.0
27,Finance,7,58000.0
28,Finance,8,
29,Finance,9,62000.0
30,Finance,10,65000.0
31,Marketing,1,35000.0
32,Marketing,2,
33,Marketing,3,42000.0
34,Marketing,4,45000.0
35,Marketing,5,
36,Marketing,6,50000.0
37,Marketing,7,52000.0
38,Marketing,8,
39,Marketing,9,58000.0
40,Marketing,10,60000.0
41,Operations,1,33000.0
42,Operations,2,
43,Operations,3,39000.0
44,Operations,4,42000.0
45,Operations,5,
46,Operations,6,47000.0
47,Operations,7,50000.0
48,Operations,8,
49,Operations,9,54000.0
50,Operations,10,57000.0
